Workflow Count: 100 alft_Task execution time : 0.2 vita_Data transfer time: 0.2 gama_Deadline Factor: 1.0
Repeat	gama	Name	totalCost	               totalRU	totalSR	   DD	  ST
7	8.0	RMWS	12440.21360	0.84244	0.97000	-0.38253	0.62569
8	8.0	ROSA	36568.00000	0.72655	1.00000	-0.13223	0.26022
8	8.0	NOSF	11695.63120	0.82828	0.84000	-0.12216	0.21495
8	8.0	RMWS	12443.05560	0.79293	0.97000	-0.34929	0.45678
9	8.0	ROSA	39369.20000	0.81171	0.99000	-0.13411	0.17314
9	8.0	NOSF	8888.69420	0.88324	0.91000	-0.12957	0.18125
9	8.0	RMWS	12017.46200	0.84562	0.98000	-0.37124	0.43415
Average:	8.0	ROSA	41276.72000	0.74501	0.99400	-0.12982	0.23956
Average:	8.0	NOSF	14363.60710	0.84277	0.83500	-0.12892	0.21895
Average:	8.0	RMWS	12101.28286	0.82158	0.98400	-0.36739	0.50240
